name,type1,type2,ability1,ability2,ability3,formats,hp,atk,def,spa,spd,spe
Alomomola,Water,,Healer,Regenerator,Hydration,['OU'],"HP
165","Atk
75","Def
80","SpA
40","SpD
45","Spe
65"
Altaria,"Dragon
Flying",,Natural Cure,Cloud Nine,,['PU'],"HP
75","Atk
70","Def
90","SpA
70","SpD
105","Spe
80"
Altaria-Mega,"Dragon
Fairy",,Pixilate,,,['National Dex'],"HP
75","Atk
110","Def
110","SpA
110","SpD
105","Spe
80"
Amaura,"Rock
Ice",,Refrigerate,Snow Warning,,['National Dex'],"HP
77","Atk
59","Def
50","SpA
67","SpD
63","Spe
46"
Ambipom,Normal,,Technician,Skill Link,Pickup,['PU'],"HP
75","Atk
100","Def
66","SpA
60","SpD
66","Spe
115"
Amoonguss,"Grass
Poison",,Effect Spore,Regenerator,,['RU'],"HP
114","Atk
85","Def
70","SpA
85","SpD
80","Spe
30"
Ampharos,Electric,,Static,Plus,,['ZU'],"HP
90","Atk
75","Def
85","SpA
115","SpD
90","Spe
55"
Ampharos-Mega,"Electric
Dragon",,Mold Breaker,,,['National Dex'],"HP
90","Atk
95","Def
105","SpA
165","SpD
110","Spe
45"
Annihilape,"Fighting
Ghost",,Vital Spirit,Defiant,Inner Focus,['Uber'],"HP
110","Atk
115","Def
80","SpA
50","SpD
90","Spe
90"
Anorith,"Rock
Bug",,Battle Armor,Swift Swim,,['National Dex'],"HP
45","Atk
95","Def
50","SpA
40","SpD
50","Spe
75"
Appletun,"Grass
Dragon",,Ripen,Thick Fat,Gluttony,['ZU'],"HP
110","Atk
85","Def
80","SpA
100","SpD
80","Spe
30"
Appletun-Gmax,"Grass
Dragon",,Ripen,Thick Fat,Gluttony,['National Dex'],"HP
110","Atk
85","Def
80","SpA
100","SpD
80","Spe
30"
Applin,"Grass
Dragon",,Ripen,Bulletproof,Gluttony,['LC'],"HP
40","Atk
40","Def
80","SpA
40","SpD
40","Spe
20"
Araquanid,"Water
Bug",,Water Bubble,Water Absorb,,['NU'],"HP
68","Atk
70","Def
92","SpA
50","SpD
132","Spe
42"
Araquanid-Totem,"Water
Bug",,Water Bubble,,,['National Dex'],"HP
68","Atk
70","Def
92","SpA
50","SpD
132","Spe
42"
Arbok,Poison,,Intimidate,Unnerve,Shed Skin,['ZU'],"HP
60","Atk
95","Def
69","SpA
65","SpD
79","Spe
80"
Arboliva,"Grass
Normal",,Seed Sower,Harvest,,['ZU'],"HP
78","Atk
69","Def
90","SpA
125","SpD
109","Spe
39"
Arcanine,Fire,,Intimidate,Justified,Flash Fire,['PU'],"HP
90","Atk
110","Def
80","SpA
100","SpD
80","Spe
95"
Arcanine-Hisui,"Fire
Rock",,Intimidate,Rock Head,Flash Fire,['UU'],"HP
95","Atk
115","Def
80","SpA
95","SpD
80","Spe
90"
Arceus,Normal,,Multitype,,,['Uber'],"HP
120","Atk
120","Def
120","SpA
120","SpD
120","Spe
120"
Arceus-Bug,Bug,,Multitype,,,['Uber'],"HP
120","Atk
120","Def
120","SpA
120","SpD
120","Spe
120"
Arceus-Dark,Dark,,Multitype,,,['Uber'],"HP
120","Atk
120","Def
120","SpA
120","SpD
120","Spe
120"
Arceus-Dragon,Dragon,,Multitype,,,['Uber'],"HP
120","Atk
120","Def
120","SpA
120","SpD
120","Spe
120"
Arceus-Electric,Electric,,Multitype,,,['Uber'],"HP
120","Atk
120","Def
120","SpA
120","SpD
120","Spe
120"
Arceus-Fairy,Fairy,,Multitype,,,['Uber'],"HP
120","Atk
120","Def
120","SpA
120","SpD
120","Spe
120"
Arceus-Fighting,Fighting,,Multitype,,,['Uber'],"HP
120","Atk
120","Def
120","SpA
120","SpD
120","Spe
120"
Arceus-Fire,Fire,,Multitype,,,['Uber'],"HP
120","Atk
120","Def
120","SpA
120","SpD
120","Spe
120"
Arceus-Flying,Flying,,Multitype,,,['Uber'],"HP
120","Atk
120","Def
120","SpA
120","SpD
120","Spe
120"
Arceus-Ghost,Ghost,,Multitype,,,['Uber'],"HP
120","Atk
120","Def
120","SpA
120","SpD
120","Spe
120"
Arceus-Grass,Grass,,Multitype,,,['Uber'],"HP
120","Atk
120","Def
120","SpA
120","SpD
120","Spe
120"
Arceus-Ground,Ground,,Multitype,,,['Uber'],"HP
120","Atk
120","Def
120","SpA
120","SpD
120","Spe
120"
Arceus-Ice,Ice,,Multitype,,,['Uber'],"HP
120","Atk
120","Def
120","SpA
120","SpD
120","Spe
120"
Arceus-Poison,Poison,,Multitype,,,['Uber'],"HP
120","Atk
120","Def
120","SpA
120","SpD
120","Spe
120"
Arceus-Psychic,Psychic,,Multitype,,,['Uber'],"HP
120","Atk
120","Def
120","SpA
120","SpD
120","Spe
120"
Arceus-Rock,Rock,,Multitype,,,['Uber'],"HP
120","Atk
120","Def
120","SpA
120","SpD
120","Spe
120"
Arceus-Steel,Steel,,Multitype,,,['Uber'],"HP
120","Atk
120","Def
120","SpA
120","SpD
120","Spe
120"
Arceus-Water,Water,,Multitype,,,['Uber'],"HP
120","Atk
120","Def
120","SpA
120","SpD
120","Spe
120"
Archaludon,"Steel
Dragon",,Stamina,Stalwart,Sturdy,['Uber'],"HP
90","Atk
105","Def
130","SpA
125","SpD
65","Spe
85"
Archen,"Rock
Flying",,Defeatist,,,['National Dex'],"HP
55","Atk
112","Def
45","SpA
74","SpD
45","Spe
70"
Archeops,"Rock
Flying",,Defeatist,,,['National Dex'],"HP
75","Atk
140","Def
65","SpA
112","SpD
65","Spe
110"
Arctibax,"Dragon
Ice",,Thermal Exchange,Ice Body,,['NFE'],"HP
90","Atk
95","Def
66","SpA
45","SpD
65","Spe
62"
Arctovish,"Water
Ice",,Water Absorb,Slush Rush,Ice Body,['National Dex'],"HP
90","Atk
90","Def
100","SpA
80","SpD
90","Spe
55"
Arctozolt,"Electric
Ice",,Volt Absorb,Slush Rush,Static,['National Dex'],"HP
90","Atk
100","Def
90","SpA
90","SpD
80","Spe
55"
Argalis,"Bug
Psychic",,Shed Skin,Overcoat,Compound Eyes,[],"HP
60","Atk
90","Def
89","SpA
87","SpD
40","Spe
54"
Arghonaut,"Water
Fighting",,Unaware,Technician,,['CAP'],"HP
105","Atk
110","Def
95","SpA
70","SpD
100","Spe
75"
Ariados,"Bug
Poison",,Swarm,Sniper,Insomnia,['ZU'],"HP
70","Atk
90","Def
70","SpA
60","SpD
70","Spe
40"
Armaldo,"Rock
Bug",,Battle Armor,Swift Swim,,['National Dex'],"HP
75","Atk
125","Def
100","SpA
70","SpD
80","Spe
45"
Armarouge,"Fire
Psychic",,Flash Fire,Weak Armor,,['RU'],"HP
85","Atk
60","Def
100","SpA
125","SpD
80","Spe
75"
Aromatisse,Fairy,,Healer,Aroma Veil,,['National Dex'],"HP
101","Atk
72","Def
72","SpA
99","SpD
89","Spe
29"
Aron,"Steel
Rock",,Sturdy,Heavy Metal,Rock Head,['National Dex'],"HP
50","Atk
70","Def
100","SpA
40","SpD
40","Spe
30"
Arrokuda,Water,,Swift Swim,Propeller Tail,,['LC'],"HP
41","Atk
63","Def
40","SpA
40","SpD
30","Spe
66"
Articuno,"Ice
Flying",,Pressure,Snow Cloak,,['ZU'],"HP
90","Atk
85","Def
100","SpA
95","SpD
125","Spe
85"
Articuno-Galar,"Psychic
Flying",,Competitive,,,['ZUBL'],"HP
90","Atk
85","Def
85","SpA
125","SpD
100","Spe
95"
Astrolotl,"Fire
Dragon",,Regenerator,Magician,Vital Spirit,['CAP'],"HP
108","Atk
108","Def
74","SpA
92","SpD
64","Spe
114"
Audino,Normal,,Healer,Klutz,Regenerator,['National Dex'],"HP
103","Atk
60","Def
86","SpA
60","SpD
86","Spe
50"
Audino-Mega,"Normal
Fairy",,Healer,,,['National Dex'],"HP
103","Atk
60","Def
126","SpA
80","SpD
126","Spe
50"
Aurorus,"Rock
Ice",,Refrigerate,Snow Warning,,['National Dex'],"HP
123","Atk
77","Def
72","SpA
99","SpD
92","Spe
58"
Aurumoth,"Bug
Psychic",,Weak Armor,Light Metal,No Guard,['CAP'],"HP
110","Atk
120","Def
99","SpA
117","SpD
60","Spe
94"
Avalugg,Ice,,Own Tempo,Sturdy,Ice Body,['NU'],"HP
95","Atk
117","Def
184","SpA
44","SpD
46","Spe
28"
Avalugg-Hisui,"Ice
Rock",,Strong Jaw,Sturdy,Ice Body,['ZU'],"HP
95","Atk
127","Def
184","SpA
34","SpD
36","Spe
38"
Axew,Dragon,,Rivalry,Unnerve,Mold Breaker,['LC'],"HP
46","Atk
87","Def
60","SpA
30","SpD
40","Spe
57"
Azelf,Psychic,,Levitate,,,['RU'],"HP
75","Atk
125","Def
70","SpA
125","SpD
70","Spe
115"
Azumarill,"Water
Fairy",,Thick Fat,Sap Sipper,Huge Power,['UU'],"HP
100","Atk
50","Def
80","SpA
60","SpD
80","Spe
50"
Azurill,"Normal
Fairy",,Thick Fat,Sap Sipper,Huge Power,['LC'],"HP
50","Atk
20","Def
40","SpA
20","SpD
40","Spe
20"
Bagon,Dragon,,Rock Head,Sheer Force,,['LC'],"HP
45","Atk
75","Def
60","SpA
40","SpD
30","Spe
50"
Baltoy,"Ground
Psychic",,Levitate,,,['National Dex'],"HP
40","Atk
40","Def
55","SpA
40","SpD
70","Spe
55"
Banette,Ghost,,Insomnia,Cursed Body,Frisk,['ZU'],"HP
64","Atk
115","Def
65","SpA
83","SpD
63","Spe
65"
Banette-Mega,Ghost,,Prankster,,,['National Dex'],"HP
64","Atk
165","Def
75","SpA
93","SpD
83","Spe
75"
Barbaracle,"Rock
Water",,Tough Claws,Pickpocket,Sniper,['National Dex'],"HP
72","Atk
105","Def
115","SpA
54","SpD
86","Spe
68"
Barboach,"Water
Ground",,Oblivious,Hydration,Anticipation,['LC'],"HP
50","Atk
48","Def
43","SpA
46","SpD
41","Spe
60"
Barraskewda,Water,,Swift Swim,Propeller Tail,,['RU'],"HP
61","Atk
123","Def
60","SpA
60","SpD
50","Spe
136"
Basculegion,"Water
Ghost",,Swift Swim,Mold Breaker,Adaptability,['NU'],"HP
120","Atk
112","Def
65","SpA
80","SpD
75","Spe
78"
Basculegion-F,"Water
Ghost",,Swift Swim,Mold Breaker,Adaptability,['RU'],"HP
120","Atk
92","Def
65","SpA
100","SpD
75","Spe
78"
Basculin,Water,,Reckless,Mold Breaker,Adaptability,['ZU'],"HP
70","Atk
92","Def
65","SpA
80","SpD
55","Spe
98"
Basculin-Blue-Striped,Water,,Rock Head,Mold Breaker,Adaptability,['ZU'],"HP
70","Atk
92","Def
65","SpA
80","SpD
55","Spe
98"
Basculin-White-Striped,Water,,Rattled,Mold Breaker,Adaptability,['ZU'],"HP
70","Atk
92","Def
65","SpA
80","SpD
55","Spe
98"
Bastiodon,"Rock
Steel",,Sturdy,Soundproof,,['ZU'],"HP
60","Atk
52","Def
168","SpA
47","SpD
138","Spe
30"
Baxcalibur,"Dragon
Ice",,Thermal Exchange,Ice Body,,['Uber'],"HP
115","Atk
145","Def
92","SpA
75","SpD
86","Spe
87"
Bayleef,Grass,,Overgrow,Leaf Guard,,['NFE'],"HP
60","Atk
62","Def
80","SpA
63","SpD
80","Spe
60"
Beartic,Ice,,Snow Cloak,Swift Swim,Slush Rush,['ZU'],"HP
95","Atk
130","Def
80","SpA
70","SpD
80","Spe
50"
Beautifly,"Bug
Flying",,Swarm,Rivalry,,['National Dex'],"HP
60","Atk
70","Def
50","SpA
100","SpD
50","Spe
65"
Beedrill,"Bug
Poison",,Swarm,Sniper,,['National Dex'],"HP
65","Atk
90","Def
40","SpA
45","SpD
80","Spe
75"
Beedrill-Mega,"Bug
Poison",,Adaptability,,,['National Dex'],"HP
65","Atk
150","Def
40","SpA
15","SpD
80","Spe
145"
Beheeyem,Psychic,,Telepathy,Analytic,Synchronize,['National Dex'],"HP
75","Atk
75","Def
75","SpA
125","SpD
95","Spe
40"
Beldum,"Steel
Psychic",,Clear Body,Light Metal,,['LC'],"HP
40","Atk
55","Def
80","SpA
35","SpD
60","Spe
30"
Bellibolt,Electric,,Electromorphosis,Damp,Static,['PU'],"HP
109","Atk
64","Def
91","SpA
103","SpD
83","Spe
45"
Bellossom,Grass,,Chlorophyll,Healer,,['ZU'],"HP
75","Atk
80","Def
95","SpA
90","SpD
100","Spe
50"
Bellsprout,"Grass
Poison",,Chlorophyll,Gluttony,,['LC'],"HP
50","Atk
75","Def
35","SpA
70","SpD
30","Spe
40"
Bergmite,Ice,,Own Tempo,Sturdy,Ice Body,['LC'],"HP
55","Atk
69","Def
85","SpA
32","SpD
35","Spe
28"
Bewear,"Normal
Fighting",,Fluffy,Unnerve,Klutz,['National Dex'],"HP
120","Atk
125","Def
80","SpA
55","SpD
60","Spe
60"
Bibarel,"Normal
Water",,Simple,Moody,Unaware,['National Dex'],"HP
79","Atk
85","Def
60","SpA
55","SpD
60","Spe
71"
Bidoof,Normal,,Simple,Moody,Unaware,['National Dex'],"HP
59","Atk
45","Def
40","SpA
35","SpD
40","Spe
31"
Binacle,"Rock
Water",,Tough Claws,Pickpocket,Sniper,['National Dex'],"HP
42","Atk
52","Def
67","SpA
39","SpD
56","Spe
50"
Bisharp,"Dark
Steel",,Defiant,Pressure,Inner Focus,['RU'],"HP
65","Atk
125","Def
100","SpA
60","SpD
70","Spe
70"
Blacephalon,"Fire
Ghost",,Beast Boost,,,['National Dex'],"HP
53","Atk
127","Def
53","SpA
151","SpD
79","Spe
107"
Blastoise,Water,,Torrent,Rain Dish,,['RUBL'],"HP
79","Atk
83","Def
100","SpA
85","SpD
105","Spe
78"
Blastoise-Gmax,Water,,Torrent,Rain Dish,,['National Dex'],"HP
79","Atk
83","Def
100","SpA
85","SpD
105","Spe
78"
Blastoise-Mega,Water,,Mega Launcher,,,['National Dex'],"HP
79","Atk
103","Def
120","SpA
135","SpD
115","Spe
78"
Blaziken,"Fire
Fighting",,Blaze,Speed Boost,,['UUBL'],"HP
80","Atk
120","Def
70","SpA
110","SpD
70","Spe
80"
Blaziken-Mega,"Fire
Fighting",,Speed Boost,,,['National Dex'],"HP
80","Atk
160","Def
80","SpA
130","SpD
80","Spe
100"
Blipbug,Bug,,Swarm,Telepathy,Compound Eyes,['National Dex'],"HP
25","Atk
20","Def
20","SpA
25","SpD
45","Spe
45"
Blissey,Normal,,Natural Cure,Healer,Serene Grace,['UU'],"HP
255","Atk
10","Def
10","SpA
75","SpD
135","Spe
55"
Blitzle,Electric,,Lightning Rod,Sap Sipper,Motor Drive,['LC'],"HP
45","Atk
60","Def
32","SpA
50","SpD
32","Spe
76"
Boldore,Rock,,Sturdy,Sand Force,Weak Armor,['National Dex'],"HP
70","Atk
105","Def
105","SpA
50","SpD
40","Spe
20"
Boltund,Electric,,Strong Jaw,Competitive,,['National Dex'],"HP
69","Atk
90","Def
60","SpA
90","SpD
60","Spe
121"
Bombirdier,"Flying
Dark",,Big Pecks,Rocky Payload,Keen Eye,['PU'],"HP
70","Atk
103","Def
85","SpA
60","SpD
85","Spe
82"
Bonsly,Rock,,Sturdy,Rattled,Rock Head,['LC'],"HP
50","Atk
80","Def
95","SpA
10","SpD
45","Spe
10"
Bouffalant,Normal,,Reckless,Soundproof,Sap Sipper,['National Dex'],"HP
95","Atk
110","Def
95","SpA
40","SpD
95","Spe
55"
Bounsweet,Grass,,Leaf Guard,Sweet Veil,Oblivious,['LC'],"HP
42","Atk
30","Def
38","SpA
30","SpD
38","Spe
32"
Braixen,Fire,,Blaze,Magician,,['NFE'],"HP
59","Atk
59","Def
58","SpA
90","SpD
70","Spe
73"
Brambleghast,"Grass
Ghost",,Wind Rider,Infiltrator,,['NU'],"HP
55","Atk
115","Def
70","SpA
80","SpD
70","Spe
90"
Bramblin,"Grass
Ghost",,Wind Rider,Infiltrator,,['LC'],"HP
40","Atk
65","Def
30","SpA
45","SpD
35","Spe
60"
Brattler,"Dark
Grass",,Harvest,Rattled,Infiltrator,[],"HP
80","Atk
70","Def
40","SpA
20","SpD
90","Spe
30"
Braviary,"Normal
Flying",,Keen Eye,Defiant,Sheer Force,['ZU'],"HP
100","Atk
123","Def
75","SpA
57","SpD
75","Spe
80"
Braviary-Hisui,"Psychic
Flying",,Keen Eye,Tinted Lens,Sheer Force,['PU'],"HP
110","Atk
83","Def
70","SpA
112","SpD
70","Spe
65"
Breezi,"Poison
Flying",,Unburden,Frisk,Own Tempo,[],"HP
50","Atk
46","Def
69","SpA
60","SpD
50","Spe
75"
Breloom,"Grass
Fighting",,Effect Spore,Technician,Poison Heal,['NU'],"HP
60","Atk
130","Def
80","SpA
60","SpD
60","Spe
70"
Brionne,Water,,Torrent,Liquid Voice,,['NFE'],"HP
60","Atk
69","Def
69","SpA
91","SpD
81","Spe
50"
Bronzong,"Steel
Psychic",,Levitate,Heavy Metal,Heatproof,['NU'],"HP
67","Atk
89","Def
116","SpA
79","SpD
116","Spe
33"
Bronzor,"Steel
Psychic",,Levitate,Heavy Metal,Heatproof,['LC'],"HP
57","Atk
24","Def
86","SpA
24","SpD
86","Spe
23"
Brute Bonnet,"Grass
Dark",,Protosynthesis,,,['ZU'],"HP
111","Atk
127","Def
99","SpA
79","SpD
99","Spe
55"
Bruxish,"Water
Psychic",,Dazzling,Wonder Skin,Strong Jaw,['ZUBL'],"HP
68","Atk
105","Def
70","SpA
70","SpD
70","Spe
92"
Budew,"Grass
Poison",,Natural Cure,Leaf Guard,Poison Point,['National Dex'],"HP
40","Atk
30","Def
35","SpA
50","SpD
70","Spe
55"
Buizel,Water,,Swift Swim,Water Veil,,['LC'],"HP
55","Atk
65","Def
35","SpA
60","SpD
30","Spe
85"
Bulbasaur,"Grass
Poison",,Overgrow,Chlorophyll,,['LC'],"HP
45","Atk
49","Def
49","SpA
65","SpD
65","Spe
45"
Buneary,Normal,,Run Away,Limber,Klutz,['National Dex'],"HP
55","Atk
66","Def
44","SpA
44","SpD
56","Spe
85"
Bunnelby,Normal,,Pickup,Huge Power,Cheek Pouch,['National Dex'],"HP
38","Atk
36","Def
38","SpA
32","SpD
36","Spe
57"
Burmy,Bug,,Shed Skin,Overcoat,,['National Dex'],"HP
40","Atk
29","Def
45","SpA
29","SpD
45","Spe
36"
Butterfree,"Bug
Flying",,Compound Eyes,Tinted Lens,,['National Dex'],"HP
60","Atk
45","Def
50","SpA
90","SpD
80","Spe
70"
Butterfree-Gmax,"Bug
Flying",,Compound Eyes,Tinted Lens,,['National Dex'],"HP
60","Atk
45","Def
50","SpA
90","SpD
80","Spe
70"
Buzzwole,"Bug
Fighting",,Beast Boost,,,['National Dex'],"HP
107","Atk
139","Def
139","SpA
53","SpD
53","Spe
79"
Cacnea,Grass,,Sand Veil,Water Absorb,,['LC'],"HP
50","Atk
85","Def
40","SpA
85","SpD
40","Spe
35"
Cacturne,"Grass
Dark",,Sand Veil,Water Absorb,,['ZU'],"HP
70","Atk
115","Def
60","SpA
115","SpD
60","Spe
55"
Caimanoe,"Water
Steel",,Water Veil,Light Metal,Heatproof,[],"HP
73","Atk
85","Def
65","SpA
80","SpD
40","Spe
87"
Calyrex,"Psychic
Grass",,Unnerve,,,['ZU'],"HP
100","Atk
80","Def
80","SpA
80","SpD
80","Spe
80"
Calyrex-Ice,"Psychic
Ice",,As One (Glastrier),,,['Uber'],"HP
100","Atk
165","Def
150","SpA
85","SpD
130","Spe
50"
Calyrex-Shadow,"Psychic
Ghost",,As One (Spectrier),,,['AG'],"HP
100","Atk
85","Def
80","SpA
165","SpD
100","Spe
150"
Camerupt,"Fire
Ground",,Magma Armor,Anger Point,Solid Rock,['ZU'],"HP
70","Atk
100","Def
70","SpA
105","SpD
75","Spe
40"
Camerupt-Mega,"Fire
Ground",,Sheer Force,,,['National Dex'],"HP
70","Atk
120","Def
100","SpA
145","SpD
105","Spe
20"
Capsakid,Grass,,Chlorophyll,Klutz,Insomnia,['LC'],"HP
50","Atk
62","Def
40","SpA
62","SpD
40","Spe
50"
Carbink,"Rock
Fairy",,Clear Body,Sturdy,,['ZU'],"HP
50","Atk
50","Def
150","SpA
50","SpD
150","Spe
50"
Caribolt,"Grass
Electric",,Overgrow,Galvanize,,['CAP'],"HP
84","Atk
106","Def
82","SpA
77","SpD
80","Spe
106"
Carkol,"Rock
Fire",,Steam Engine,Flash Fire,Flame Body,['NFE'],"HP
80","Atk
60","Def
90","SpA
60","SpD
70","Spe
50"
Carnivine,Grass,,Levitate,,,['National Dex'],"HP
74","Atk
100","Def
72","SpA
90","SpD
72","Spe
46"
Carracosta,"Water
Rock",,Solid Rock,Swift Swim,Sturdy,['National Dex'],"HP
74","Atk
108","Def
133","SpA
83","SpD
65","Spe
32"
Carvanha,"Water
Dark",,Rough Skin,Speed Boost,,['National Dex'],"HP
45","Atk
90","Def
20","SpA
65","SpD
20","Spe
65"
Cascoon,Bug,,Shed Skin,,,['National Dex'],"HP
50","Atk
35","Def
55","SpA
25","SpD
25","Spe
15"
Castform,Normal,,Forecast,,,['National Dex'],"HP
70","Atk
70","Def
70","SpA
70","SpD
70","Spe
70"
Castform-Rainy,Water,,Forecast,,,['National Dex'],"HP
70","Atk
70","Def
70","SpA
70","SpD
70","Spe
70"
Castform-Snowy,Ice,,Forecast,,,['National Dex'],"HP
70","Atk
70","Def
70","SpA
70","SpD
70","Spe
70"
Castform-Sunny,Fire,,Forecast,,,['National Dex'],"HP
70","Atk
70","Def
70","SpA
70","SpD
70","Spe
70"
Caterpie,Bug,,Shield Dust,Run Away,,['National Dex'],"HP
45","Atk
30","Def
35","SpA
20","SpD
20","Spe
45"
Cawdet,"Steel
Flying",,Keen Eye,Big Pecks,Volt Absorb,[],"HP
35","Atk
72","Def
85","SpA
40","SpD
55","Spe
88"
Cawmodore,"Steel
Flying",,Intimidate,Big Pecks,Volt Absorb,['CAP'],"HP
50","Atk
92","Def
130","SpA
65","SpD
75","Spe
118"
Celebi,"Psychic
Grass",,Natural Cure,,,['National Dex'],"HP
100","Atk
100","Def
100","SpA
100","SpD
100","Spe
100"
Celesteela,"Steel
Flying",,Beast Boost,,,['National Dex'],"HP
97","Atk
101","Def
103","SpA
107","SpD
101","Spe
61"
Centiskorch,"Fire
Bug",,Flash Fire,Flame Body,White Smoke,['National Dex'],"HP
100","Atk
115","Def
65","SpA
90","SpD
90","Spe
65"
Centiskorch-Gmax,"Fire
Bug",,Flash Fire,Flame Body,White Smoke,['National Dex'],"HP
100","Atk
115","Def
65","SpA
90","SpD
90","Spe
65"
Ceruledge,"Fire
Ghost",,Flash Fire,Weak Armor,,['UUBL'],"HP
75","Atk
125","Def
80","SpA
60","SpD
100","Spe
85"
Cetitan,Ice,,Thick Fat,Sheer Force,Slush Rush,['PUBL'],"HP
170","Atk
113","Def
65","SpA
45","SpD
55","Spe
73"
Cetoddle,Ice,,Thick Fat,Sheer Force,Snow Cloak,['LC'],"HP
108","Atk
68","Def
45","SpA
30","SpD
40","Spe
43"
Chandelure,"Ghost
Fire",,Flash Fire,Infiltrator,Flame Body,['NU'],"HP
60","Atk
55","Def
90","SpA
145","SpD
90","Spe
80"
Chansey,Normal,,Natural Cure,Healer,Serene Grace,['RU'],"HP
250","Atk
5","Def
5","SpA
35","SpD
105","Spe
50"
Charcadet,Fire,,Flash Fire,Flame Body,,['LC'],"HP
40","Atk
50","Def
40","SpA
50","SpD
40","Spe
35"
Charizard,"Fire
Flying",,Blaze,Solar Power,,['ZU'],"HP
78","Atk
84","Def
78","SpA
109","SpD
85","Spe
100"
Charizard-Gmax,"Fire
Flying",,Blaze,Solar Power,,['National Dex'],"HP
78","Atk
84","Def
78","SpA
109","SpD
85","Spe
100"
Charizard-Mega-X,"Fire
Dragon",,Tough Claws,,,['National Dex'],"HP
78","Atk
130","Def
111","SpA
130","SpD
85","Spe
100"
Charizard-Mega-Y,"Fire
Flying",,Drought,,,['National Dex'],"HP
78","Atk
104","Def
78","SpA
159","SpD
115","Spe
100"
Charjabug,"Bug
Electric",,Battery,,,['NFE'],"HP
57","Atk
82","Def
95","SpA
55","SpD
75","Spe
36"
Charmander,Fire,,Blaze,Solar Power,,['LC'],"HP
39","Atk
52","Def
43","SpA
60","SpD
50","Spe
65"
Charmeleon,Fire,,Blaze,Solar Power,,['NFE'],"HP
58","Atk
64","Def
58","SpA
80","SpD
65","Spe
80"
Chatot,"Normal
Flying",,Keen Eye,Big Pecks,Tangled Feet,['National Dex'],"HP
76","Atk
65","Def
45","SpA
92","SpD
42","Spe
91"
Cherrim,Grass,,Flower Gift,,,['National Dex'],"HP
70","Atk
60","Def
70","SpA
87","SpD
78","Spe
85"
Cherrim-Sunshine,Grass,,Flower Gift,,,['National Dex'],"HP
70","Atk
60","Def
70","SpA
87","SpD
78","Spe
85"
Cherubi,Grass,,Chlorophyll,,,['National Dex'],"HP
45","Atk
35","Def
45","SpA
62","SpD
53","Spe
35"
Chesnaught,"Grass
Fighting",,Overgrow,Bulletproof,,['RU'],"HP
88","Atk
107","Def
122","SpA
74","SpD
75","Spe
64"
Chespin,Grass,,Overgrow,Bulletproof,,['LC'],"HP
56","Atk
61","Def
65","SpA
48","SpD
45","Spe
38"
