name,type,power,accuracy,pp,description
Aura Sphere,Fighting,80,—,20,This move does not check accuracy.
Aura Wheel,Electric,110,100%,10,Morpeko: Electric; Hangry: Dark; 100% +1 Spe.
Aurora Beam,Ice,65,100%,20,10% chance to lower the target's Attack by 1.
Aurora Veil,Ice,—,—,20,"For 5 turns, damage to allies halved. Snow only."
Autotomize,Steel,—,—,15,Raises the user's Speed by 2; user loses 100 kg.
Avalanche,Ice,60,100%,10,Power doubles if user is damaged by the target.
Axe Kick,Fighting,120,90%,10,30% confusion. User loses 50% max HP if miss.
Baby-Doll Eyes,Fairy,—,100%,30,Lowers the target's Attack by 1.
Baddy Bad,Dark,90,100%,15,Summons Reflect.
Baneful Bunker,Poison,—,—,10,Protects from moves. Contact: poison.
Barb Barrage,Poison,60,100%,10,50% psn. 2x power if target already poisoned.
Barrage,Normal,15,85%,20,Hits 2-5 times in one turn.
Barrier,Psychic,—,—,20,Raises the user's Defense by 2.
Baton Pass,Normal,—,—,40,"User switches, passing stat changes and more."
Beak Blast,Flying,100,100%,15,Burns on contact with the user before it moves.
Beat Up,Dark,—,100%,10,All healthy allies aid in damaging the target.
Behemoth Bash,Steel,100,100%,5,No additional effect.
Behemoth Blade,Steel,100,100%,5,No additional effect.
Belch,Poison,120,90%,10,Cannot be selected until the user eats a Berry.
Belly Drum,Normal,—,—,10,User loses 50% max HP. Maximizes Attack.
Bestow,Normal,—,—,15,User passes its held item to the target.
Bide,Normal,—,—,10,Waits 2 turns; deals double the damage taken.
Bind,Normal,15,85%,20,Traps and damages the target for 4-5 turns.
Bite,Dark,60,100%,25,30% chance to make the target flinch.
Bitter Blade,Fire,90,100%,10,User recovers 50% of the damage dealt.
Bitter Malice,Ghost,75,100%,10,100% chance to lower the target's Attack by 1.
Black Hole Eclipse,Dark,1,—,1,Power is equal to the base move's Z-Power.
Blast Burn,Fire,150,90%,5,User cannot move next turn.
Blaze Kick,Fire,85,90%,10,High critical hit ratio. 10% chance to burn.
Blazing Torque,Fire,80,100%,10,30% chance to burn the target.
Bleakwind Storm,Flying,100,80%,10,30% to lower foe(s) Speed by 1. Rain: can't miss.
Blizzard,Ice,110,70%,5,10% chance to freeze foe(s). Can't miss in Snow.
Block,Normal,—,—,5,Prevents the target from switching out.
Blood Moon,Normal,140,100%,5,Cannot be selected the turn after it's used.
Bloom Doom,Grass,1,—,1,Power is equal to the base move's Z-Power.
Blue Flare,Fire,130,85%,5,20% chance to burn the target.
Body Press,Fighting,80,100%,10,Uses user's Def stat as Atk in damage calculation.
Body Slam,Normal,85,100%,15,30% chance to paralyze the target.
Bolt Beak,Electric,85,100%,10,Power doubles if user moves before the target.
Bolt Strike,Electric,130,85%,5,20% chance to paralyze the target.
Bone Club,Ground,65,85%,20,10% chance to make the target flinch.
Bone Rush,Ground,25,90%,10,Hits 2-5 times in one turn.
Bonemerang,Ground,50,90%,10,Hits 2 times in one turn.
Boomburst,Normal,140,100%,10,No additional effect. Hits adjacent Pokemon.
Bounce,Flying,85,85%,5,Bounces turn 1. Hits turn 2. 30% paralyze.
Bouncy Bubble,Water,90,100%,15,User recovers 50% of the damage dealt.
Branch Poke,Grass,40,100%,40,No additional effect.
Brave Bird,Flying,120,100%,15,Has 33% recoil.
Breaking Swipe,Dragon,60,100%,15,100% chance to lower the foe(s) Attack by 1.
Breakneck Blitz,Normal,1,—,1,Power is equal to the base move's Z-Power.
Brick Break,Fighting,75,100%,15,"Destroys screens, unless the target is immune."
Brine,Water,65,100%,10,Power doubles if the target's HP is 50% or less.
Brutal Swing,Dark,60,100%,20,No additional effect. Hits adjacent Pokemon.
Bubble,Water,40,100%,30,10% chance to lower the foe(s) Speed by 1.
Bubble Beam,Water,65,100%,20,10% chance to lower the target's Speed by 1.
Bug Bite,Bug,60,100%,20,User steals and eats the target's Berry.
Bug Buzz,Bug,90,100%,10,10% chance to lower the target's Sp. Def by 1.
Bulk Up,Fighting,—,—,20,Raises the user's Attack and Defense by 1.
Bulldoze,Ground,60,100%,20,100% chance lower adjacent Pkmn Speed by 1.
Bullet Punch,Steel,40,100%,30,Usually goes first.
Bullet Seed,Grass,25,100%,30,Hits 2-5 times in one turn.
Burn Up,Fire,130,100%,5,User's Fire type becomes typeless; must be Fire.
Burning Bulwark,Fire,—,—,10,Protects from damaging attacks. Contact: burn.
Burning Jealousy,Fire,70,100%,5,100% burns a target that had a stat rise this turn.
Buzzy Buzz,Electric,90,100%,15,100% chance to paralyze the foe.
Calm Mind,Psychic,—,—,20,Raises the user's Sp. Atk and Sp. Def by 1.
Camouflage,Normal,—,—,20,Changes user's type by terrain (default Normal).
Captivate,Normal,—,100%,20,Lowers the foe(s) Sp. Atk by 2 if opposite gender.
Catastropika,Electric,210,—,1,No additional effect.
Ceaseless Edge,Dark,65,90%,15,Sets a layer of Spikes on the opposing side.
Celebrate,Normal,—,—,40,No competitive use.
Charge,Electric,—,—,20,"+1 SpD, user's next Electric move 2x power."
Charge Beam,Electric,50,90%,10,70% chance to raise the user's Sp. Atk by 1.
Charm,Fairy,—,100%,20,Lowers the target's Attack by 2.
Chatter,Flying,65,100%,20,100% chance to confuse the target.
Chilling Water,Water,50,100%,20,100% chance to lower the target's Attack by 1.
Chilly Reception,Ice,—,—,10,Starts Snow. User switches out.
Chip Away,Normal,70,100%,20,Ignores the target's stat stage changes.
Chloroblast,Grass,150,95%,5,User loses 50% max HP.
Circle Throw,Fighting,60,90%,10,Forces the target to switch to a random ally.
Clamp,Water,35,85%,15,Traps and damages the target for 4-5 turns.
Clanging Scales,Dragon,110,100%,5,Lowers the user's Defense by 1.
Clangorous Soul,Dragon,—,100%,5,User loses 33% of its max HP. +1 to all stats.
Clangorous Soulblaze,Dragon,185,—,1,Raises the user's Atk/Def/SpAtk/SpDef/Spe by 1.
Clear Smog,Poison,50,—,15,Resets all of the target's stat stages to 0.
Close Combat,Fighting,120,100%,5,Lowers the user's Defense and Sp. Def by 1.
Coaching,Fighting,—,—,10,Raises an ally's Attack and Defense by 1.
Coil,Poison,—,—,20,"Raises user's Attack, Defense, accuracy by 1."
Collision Course,Fighting,100,100%,5,Deals 1.3333x damage with supereffective hits.
Combat Torque,Fighting,100,100%,10,30% chance to paralyze the target.
Comet Punch,Normal,18,85%,15,Hits 2-5 times in one turn.
Comeuppance,Dark,—,100%,10,"If hit by an attack, returns 1.5x damage."
Confide,Normal,—,—,20,Lowers the target's Sp. Atk by 1.
Confuse Ray,Ghost,—,100%,10,Confuses the target.
Confusion,Psychic,50,100%,25,10% chance to confuse the target.
Constrict,Normal,10,100%,35,10% chance to lower the target's Speed by 1.
Continental Crush,Rock,1,—,1,Power is equal to the base move's Z-Power.
Conversion,Normal,—,—,30,Changes user's type to match its first move.
Conversion 2,Normal,—,—,30,Changes user's type to resist target's last move.
Copycat,Normal,—,—,20,Uses the last move used in the battle.
Core Enforcer,Dragon,100,100%,10,Nullifies the foe(s) Ability if the foe(s) move first.
Corkscrew Crash,Steel,1,—,1,Power is equal to the base move's Z-Power.
Corrosive Gas,Poison,—,100%,40,Removes adjacent Pokemon's held items.
Cosmic Power,Psychic,—,—,20,Raises the user's Defense and Sp. Def by 1.
Cotton Guard,Grass,—,—,10,Raises the user's Defense by 3.
Cotton Spore,Grass,—,100%,40,Lowers the target's Speed by 2.
Counter,Fighting,—,100%,20,"If hit by physical attack, returns double damage."
Court Change,Normal,—,100%,10,Swaps user's field effects with the opposing side.
Covet,Normal,60,100%,25,"If the user has no item, it steals the target's."
Crabhammer,Water,100,90%,10,High critical hit ratio.
Crafty Shield,Fairy,—,—,10,Protects allies from Status moves this turn.
Cross Chop,Fighting,100,80%,5,High critical hit ratio.
Cross Poison,Poison,70,100%,20,High critical hit ratio. 10% chance to poison.
Crunch,Dark,80,100%,15,20% chance to lower the target's Defense by 1.
Crush Claw,Normal,75,95%,10,50% chance to lower the target's Defense by 1.
Crush Grip,Normal,—,100%,5,More power the more HP the target has left.
Curse,Ghost,—,—,10,"Curses if Ghost, else -1 Spe, +1 Atk, +1 Def."
Cut,Normal,50,95%,30,No additional effect.
Dark Pulse,Dark,80,100%,15,20% chance to make the target flinch.
Dark Void,Dark,—,50%,10,Darkrai: Causes the foe(s) to fall asleep.
Darkest Lariat,Dark,85,100%,10,Ignores the target's stat stage changes.
Dazzling Gleam,Fairy,80,100%,10,No additional effect. Hits adjacent foes.
Decorate,Fairy,—,—,15,Raises the target's Attack and Sp. Atk by 2.
Defend Order,Bug,—,—,10,Raises the user's Defense and Sp. Def by 1.
Defense Curl,Normal,—,—,40,Raises the user's Defense by 1.
Defog,Flying,—,—,15,-1 evasion; clears terrain and hazards on both sides.
Destiny Bond,Ghost,—,—,5,"If an opponent knocks out the user, it also faints."
Detect,Fighting,—,—,5,Prevents moves from affecting the user this turn.
Devastating Drake,Dragon,1,—,1,Power is equal to the base move's Z-Power.
Diamond Storm,Rock,100,95%,5,50% chance to raise user's Defense by 2.
Dig,Ground,80,100%,10,"Digs underground turn 1, strikes turn 2."
Dire Claw,Poison,80,100%,15,"50% chance to sleep, poison, or paralyze target."
Disable,Normal,—,100%,20,"For 4 turns, disables the target's last move used."
Disarming Voice,Fairy,40,—,15,This move does not check accuracy. Hits foes.
Discharge,Electric,80,100%,15,30% chance to paralyze adjacent Pokemon.
Dive,Water,80,100%,10,"Dives underwater turn 1, strikes turn 2."
Dizzy Punch,Normal,70,100%,10,20% chance to confuse the target.
Doodle,Normal,—,100%,10,User and ally's Abilities become target's Ability.
Doom Desire,Steel,140,100%,5,Hits two turns after being used.
Double Hit,Normal,35,90%,10,Hits 2 times in one turn.
Double Iron Bash,Steel,60,100%,5,Hits twice. 30% chance to make the target flinch.
Double Kick,Fighting,30,100%,30,Hits 2 times in one turn.
Double Shock,Electric,120,100%,5,User's Electric type: typeless; must be Electric.
Double Slap,Normal,15,85%,10,Hits 2-5 times in one turn.
Double Team,Normal,—,—,15,Raises the user's evasiveness by 1.
Double-Edge,Normal,120,100%,15,Has 33% recoil.
Draco Meteor,Dragon,130,90%,5,Lowers the user's Sp. Atk by 2.
Dragon Ascent,Flying,120,100%,5,Lowers the user's Defense and Sp. Def by 1.
Dragon Breath,Dragon,60,100%,20,30% chance to paralyze the target.
Dragon Cheer,Dragon,—,—,15,"Ally: Crit ratio +1, or +2 if ally is Dragon type."
Dragon Claw,Dragon,80,100%,15,No additional effect.
Dragon Dance,Dragon,—,—,20,Raises the user's Attack and Speed by 1.
Dragon Darts,Dragon,50,100%,10,Hits twice. Doubles: Tries to hit each foe once.
Dragon Energy,Dragon,150,100%,5,Less power as user's HP decreases. Hits foe(s).
Dragon Hammer,Dragon,90,100%,15,No additional effect.
Dragon Pulse,Dragon,85,100%,10,No additional effect.
Dragon Rage,Dragon,—,100%,10,Deals 40 HP of damage to the target.
Dragon Rush,Dragon,100,75%,10,20% chance to make the target flinch.
Dragon Tail,Dragon,60,90%,10,Forces the target to switch to a random ally.
Drain Punch,Fighting,75,100%,10,User recovers 50% of the damage dealt.
Draining Kiss,Fairy,50,100%,10,User recovers 75% of the damage dealt.
Dream Eater,Psychic,100,100%,15,User gains 1/2 HP inflicted. Sleeping target only.
Drill Peck,Flying,80,100%,20,No additional effect.
Drill Run,Ground,80,95%,10,High critical hit ratio.
Drum Beating,Grass,80,100%,10,100% chance to lower the target's Speed by 1.
Dual Chop,Dragon,40,90%,15,Hits 2 times in one turn.
Dual Wingbeat,Flying,40,90%,10,Hits 2 times in one turn.
Dynamax Cannon,Dragon,100,100%,5,No additional effect.
Dynamic Punch,Fighting,100,50%,5,100% chance to confuse the target.
Earth Power,Ground,90,100%,10,10% chance to lower the target's Sp. Def by 1.
Earthquake,Ground,100,100%,10,Hits adjacent Pokemon. Double damage on Dig.
Echoed Voice,Normal,40,100%,15,Power increases when used on consecutive turns.
Eerie Impulse,Electric,—,100%,15,Lowers the target's Sp. Atk by 2.
Eerie Spell,Psychic,80,100%,5,Removes 3 PP from the target's last move.
Egg Bomb,Normal,100,75%,10,No additional effect.
Electric Terrain,Electric,—,—,10,"5 turns. Grounded: +Electric power, can't sleep."
Electrify,Electric,—,—,20,Changes the target's move to Electric this turn.
Electro Ball,Electric,—,100%,10,More power the faster the user is than the target.
Electro Drift,Electric,100,100%,5,Deals 1.3333x damage with supereffective hits.
Electro Shot,Electric,130,100%,10,"Raises Sp. Atk by 1, hits turn 2. Rain: no charge."
Electroweb,Electric,55,95%,15,100% chance to lower the foe(s) Speed by 1.
Embargo,Dark,—,100%,15,"For 5 turns, the target's item has no effect."
Ember,Fire,40,100%,25,10% chance to burn the target.
Encore,Normal,—,100%,5,Target repeats its last move for its next 3 turns.
Endeavor,Normal,—,100%,5,Lowers the target's HP to the user's HP.
Endure,Normal,—,—,10,User survives attacks this turn with at least 1 HP.
Energy Ball,Grass,90,100%,10,10% chance to lower the target's Sp. Def by 1.
Entrainment,Normal,—,100%,15,The target's Ability changes to match the user's.
Eruption,Fire,150,100%,5,Less power as user's HP decreases. Hits foe(s).
Esper Wing,Psychic,80,100%,10,100% chance to raise user Speed by 1. High crit.
Eternabeam,Dragon,160,90%,5,User cannot move next turn.
Expanding Force,Psychic,80,100%,10,"User on Psychic Terrain: 1.5x power, hits foes."
Explosion,Normal,250,100%,5,Hits adjacent Pokemon. The user faints.
Extrasensory,Psychic,80,100%,20,10% chance to make the target flinch.
Extreme Evoboost,Normal,—,—,1,"Raises user's Atk, Def, SpA, SpD, and Spe by 2."
Extreme Speed,Normal,80,100%,5,Nearly always goes first.
Facade,Normal,70,100%,20,Power doubles if user is burn/poison/paralyzed.
Fairy Lock,Fairy,—,—,10,Prevents all Pokemon from switching next turn.
Fairy Wind,Fairy,40,100%,30,No additional effect.
Fake Out,Normal,40,100%,10,Hits first. First turn out only. 100% flinch chance.
Fake Tears,Dark,—,100%,20,Lowers the target's Sp. Def by 2.
False Surrender,Dark,80,—,10,This move does not check accuracy.
False Swipe,Normal,40,100%,40,Always leaves the target with at least 1 HP.
Feather Dance,Flying,—,100%,15,Lowers the target's Attack by 2.
Feint,Normal,30,100%,10,"Nullifies Detect, Protect, and Quick/Wide Guard."
Feint Attack,Dark,60,—,20,This move does not check accuracy.
Fell Stinger,Bug,50,100%,25,Raises user's Attack by 3 if this KOes the target.
Fickle Beam,Dragon,80,100%,5,Has a 30% chance this move's power is doubled.
Fiery Dance,Fire,80,100%,10,50% chance to raise the user's Sp. Atk by 1.
Fiery Wrath,Dark,90,100%,10,20% chance to make the foe(s) flinch.
Fillet Away,Normal,—,—,10,"+2 Attack, Sp. Atk, Speed for 1/2 user's max HP."
Final Gambit,Fighting,—,100%,5,Does damage equal to the user's HP. User faints.
Fire Blast,Fire,110,85%,5,10% chance to burn the target.
Fire Fang,Fire,65,95%,15,10% chance to burn. 10% chance to flinch.
Fire Lash,Fire,80,100%,15,100% chance to lower the target's Defense by 1.
Fire Pledge,Fire,80,100%,10,Use with Grass or Water Pledge for added effect.
Fire Punch,Fire,75,100%,15,10% chance to burn the target.
Fire Spin,Fire,35,85%,15,Traps and damages the target for 4-5 turns.
First Impression,Bug,90,100%,10,Hits first. First turn out only.
Fishious Rend,Water,85,100%,10,Power doubles if user moves before the target.
Fissure,Ground,—,30%,5,OHKOs the target. Fails if user is a lower level.
Flail,Normal,—,100%,15,More power the less HP the user has left.
Flame Burst,Fire,70,100%,15,Damages Pokemon next to the target as well.
Flame Charge,Fire,50,100%,20,100% chance to raise the user's Speed by 1.
Flame Wheel,Fire,60,100%,25,10% chance to burn the target. Thaws user.
Flamethrower,Fire,90,100%,15,10% chance to burn the target.
Flare Blitz,Fire,120,100%,15,Has 33% recoil. 10% chance to burn. Thaws user.
Flash,Normal,—,100%,20,Lowers the target's accuracy by 1.
Flash Cannon,Steel,80,100%,10,10% chance to lower the target's Sp. Def by 1.
Flatter,Dark,—,100%,15,Raises the target's Sp. Atk by 1 and confuses it.
Fleur Cannon,Fairy,130,90%,5,Lowers the user's Sp. Atk by 2.
Fling,Dark,—,100%,10,Flings the user's item at the target. Power varies.
Flip Turn,Water,60,100%,20,User switches out after damaging the target.
Floaty Fall,Flying,90,95%,15,30% chance to make the target flinch.
Floral Healing,Fairy,—,—,10,Heals the target by 50% of its max HP.
Flower Shield,Fairy,—,—,10,Raises Defense by 1 of all active Grass types.
Flower Trick,Grass,70,—,10,Always results in a critical hit; no accuracy check.
Fly,Flying,90,95%,15,"Flies up on first turn, then strikes the next turn."
Flying Press,Fighting,100,95%,10,Combines Flying in its type effectiveness.
Focus Blast,Fighting,120,70%,5,10% chance to lower the target's Sp. Def by 1.
Focus Energy,Normal,—,—,30,Raises the user's critical hit ratio by 2.
Focus Punch,Fighting,150,100%,20,Fails if the user takes damage before it hits.
Follow Me,Normal,—,—,20,The foes' moves target the user on the turn used.
Force Palm,Fighting,60,100%,10,30% chance to paralyze the target.
Foresight,Normal,—,—,40,"Fighting, Normal hit Ghost. Evasiveness ignored."
Forest's Curse,Grass,—,100%,20,Adds Grass to the target's type(s).
Foul Play,Dark,95,100%,15,Uses target's Attack stat in damage calculation.
Freeze Shock,Ice,140,90%,5,Charges turn 1. Hits turn 2. 30% paralyze.
Freeze-Dry,Ice,70,100%,20,10% chance to freeze. Super effective on Water.
Freezing Glare,Psychic,90,100%,10,10% chance to freeze the target.
Freezy Frost,Ice,90,100%,15,Eliminates all stat changes.
Frenzy Plant,Grass,150,90%,5,User cannot move next turn.
Frost Breath,Ice,60,90%,10,Always results in a critical hit.
Frustration,Normal,—,100%,20,Max 102 power at minimum Happiness.
Fury Attack,Normal,15,85%,20,Hits 2-5 times in one turn.
Fury Cutter,Bug,40,95%,20,"Power doubles with each hit, up to 160."
Fury Swipes,Normal,18,80%,15,Hits 2-5 times in one turn.
Fusion Bolt,Electric,100,100%,5,Power doubles if used after Fusion Flare this turn.
Fusion Flare,Fire,100,100%,5,Power doubles if used after Fusion Bolt this turn.
Future Sight,Psychic,120,100%,10,Hits two turns after being used.
G-Max Befuddle,Bug,10,—,5,Base move affects power. Foes: slp or psn or par.
G-Max Cannonade,Water,10,—,10,"Base move affects power. Foes: -1/6 HP, 4 turns."
G-Max Centiferno,Fire,10,—,5,Base move affects power. Foes: bound 4-5 turns.
G-Max Chi Strike,Fighting,10,—,5,Base move affects power. Allies: Crit Ratio +1.
G-Max Cuddle,Normal,10,—,5,Base move affects power. Foes: infatuated.
G-Max Depletion,Dragon,10,—,5,Base move affects power. Foes: last move -2 PP.
G-Max Drum Solo,Grass,160,—,5,Always 160 power. Ignores Abilities.
G-Max Finale,Fairy,10,—,5,Base move affects power. Allies: +1/6 max HP.
G-Max Fire Ball,Fire,160,—,5,Always 160 power. Ignores Abilities.
G-Max Foam Burst,Water,10,—,5,Base move affects power. Foes: -2 Speed.
G-Max Gold Rush,Normal,10,—,5,Base move affects power. Foes: confused.
G-Max Gravitas,Psychic,10,—,5,Base move affects power. Starts Gravity.
G-Max Hydrosnipe,Water,160,—,5,Always 160 power. Ignores Abilities.
G-Max Malodor,Poison,10,—,5,Base move affects power. Foes: poisoned.
G-Max Meltdown,Steel,10,—,5,Base move affects power. Foes: Tormented.
G-Max One Blow,Dark,10,—,5,Base move affects power. Bypasses Max Guard.
G-Max Rapid Flow,Water,10,—,5,Base move affects power. Bypasses Max Guard.
G-Max Replenish,Normal,10,—,5,Base move affects power. 50% restores Berries.
G-Max Resonance,Ice,10,—,5,Base move affects power. Allies: Aurora Veil.
G-Max Sandblast,Ground,10,—,5,Base move affects power. Foes: bound 4-5 turns.
G-Max Smite,Fairy,10,—,5,Base move affects power. Foes: confused.
G-Max Snooze,Dark,10,—,5,Base move affects power. Target: 50% Yawn.
G-Max Steelsurge,Steel,10,—,5,Base move affects power. Foes: Steel hazard.
G-Max Stonesurge,Water,10,—,5,Base move affects power. Foes: Stealth Rock.
G-Max Stun Shock,Electric,10,—,10,Base move affects power. Foes: psn or par.
G-Max Sweetness,Grass,10,—,10,Base move affects power. Allies: status cured.
G-Max Tartness,Grass,10,—,10,Base move affects power. Foes: -1 evasiveness.
G-Max Terror,Ghost,10,—,10,Base move affects power. Foes: trapped.
G-Max Vine Lash,Grass,10,—,10,"Base move affects power. Foes: -1/6 HP, 4 turns."
G-Max Volcalith,Rock,10,—,10,"Base move affects power. Foes: -1/6 HP, 4 turns."
G-Max Volt Crash,Electric,10,—,10,Base move affects power. Foes: paralyzed.
G-Max Wildfire,Fire,10,—,10,"Base move affects power. Foes: -1/6 HP, 4 turns."
G-Max Wind Rage,Flying,10,—,10,"Base move affects power. Ends Terrain, hazards."
Gastro Acid,Poison,—,100%,10,Nullifies the target's Ability.
Gear Grind,Steel,50,85%,15,Hits 2 times in one turn.
Gear Up,Steel,—,—,20,"Raises Atk, Sp. Atk of allies with Plus/Minus by 1."
Genesis Supernova,Psychic,185,—,1,Summons Psychic Terrain.
Geomancy,Fairy,—,—,10,"Charges, then raises SpA, SpD, Spe by 2 turn 2."
Giga Drain,Grass,75,100%,10,User recovers 50% of the damage dealt.
Giga Impact,Normal,150,90%,5,User cannot move next turn.
Gigaton Hammer,Steel,160,100%,5,Cannot be selected the turn after it's used.
Gigavolt Havoc,Electric,1,—,1,Power is equal to the base move's Z-Power.
Glacial Lance,Ice,120,100%,5,No additional effect. Hits adjacent foes.
Glaciate,Ice,65,95%,10,100% chance to lower the foe(s) Speed by 1.
Glaive Rush,Dragon,120,100%,5,User takes sure-hit 2x damage until its next turn.
Glare,Normal,—,100%,30,Paralyzes the target.
Glitzy Glow,Psychic,90,100%,15,Summons Light Screen.
Grass Knot,Grass,—,100%,20,More power the heavier the target.
Grass Pledge,Grass,80,100%,10,Use with Fire or Water Pledge for added effect.
Grass Whistle,Grass,—,55%,15,Causes the target to fall asleep.
Grassy Glide,Grass,55,100%,20,User on Grassy Terrain: +1 priority.
Grassy Terrain,Grass,—,—,10,"5 turns. Grounded: +Grass power, +1/16 max HP."
Grav Apple,Grass,80,100%,10,Target: 100% -1 Def. During Gravity: 1.5x power.
Gravity,Psychic,—,—,5,"5 turns: no Ground immunities, 1.67x accuracy."
Growl,Normal,—,100%,40,Lowers the foe(s) Attack by 1.
Growth,Normal,—,—,20,Raises user's Attack and Sp. Atk by 1; 2 in Sun.
Grudge,Ghost,—,—,5,"If the user faints, the attack used loses all its PP."
Guard Split,Psychic,—,—,10,Averages Defense and Sp. Def stats with target.
Guard Swap,Psychic,—,—,10,Swaps Defense and Sp. Def changes with target.
Guardian of Alola,Fairy,—,—,1,Does damage equal to 3/4 target's current HP.
Guillotine,Normal,—,30%,5,OHKOs the target. Fails if user is a lower level.
Gunk Shot,Poison,120,80%,5,30% chance to poison the target.
Gust,Flying,40,100%,35,"Power doubles during Bounce, Fly, and Sky Drop."
Gyro Ball,Steel,—,100%,5,More power the slower the user than the target.
Hail,Ice,—,—,10,"For 5 turns, hail crashes down."
Hammer Arm,Fighting,100,90%,10,Lowers the user's Speed by 1.
Happy Hour,Normal,—,—,30,No competitive use.
Hard Press,Steel,—,100%,10,More power the more HP the target has left.
Harden,Normal,—,—,30,Raises the user's Defense by 1.
Haze,Ice,—,—,30,Eliminates all stat changes.
Head Charge,Normal,120,100%,15,Has 1/4 recoil.
Head Smash,Rock,150,80%,5,Has 1/2 recoil.
Headbutt,Normal,70,100%,15,30% chance to make the target flinch.
Headlong Rush,Ground,120,100%,5,Lowers the user's Defense and Sp. Def by 1.
Heal Bell,Normal,—,—,5,Cures the user's party of all status conditions.
Heal Block,Psychic,—,100%,15,"For 5 turns, the foe(s) is prevented from healing."
Heal Order,Bug,—,—,10,Heals the user by 50% of its max HP.
Heal Pulse,Psychic,—,—,10,Heals the target by 50% of its max HP.
Healing Wish,Psychic,—,—,10,User faints. Next hurt Pokemon is fully healed.
Heart Stamp,Psychic,60,100%,25,30% chance to make the target flinch.
Heart Swap,Psychic,—,—,10,Swaps all stat changes with target.
Heat Crash,Fire,—,100%,10,More power the heavier the user than the target.
Heat Wave,Fire,95,90%,10,10% chance to burn the foe(s).
Heavy Slam,Steel,—,100%,10,More power the heavier the user than the target.
Helping Hand,Normal,—,—,20,One adjacent ally's move power is 1.5x this turn.
Hex,Ghost,65,100%,10,Power doubles if the target has a status ailment.
Hidden Power,Normal,60,100%,15,Varies in type based on the user's IVs.
High Horsepower,Ground,95,95%,10,No additional effect.
High Jump Kick,Fighting,130,90%,10,User is hurt by 50% of its max HP if it misses.
Hold Back,Normal,40,100%,40,Always leaves the target with at least 1 HP.
Hold Hands,Normal,—,—,40,No competitive use.
Hone Claws,Dark,—,—,15,Raises the user's Attack and accuracy by 1.
Horn Attack,Normal,65,100%,25,No additional effect.
Horn Drill,Normal,—,30%,5,OHKOs the target. Fails if user is a lower level.
Horn Leech,Grass,75,100%,10,User recovers 50% of the damage dealt.
Howl,Normal,—,—,40,Raises the user's and ally's Attack by 1.
Hurricane,Flying,110,70%,10,30% chance to confuse target. Can't miss in rain.
Hydro Cannon,Water,150,90%,5,User cannot move next turn.
Hydro Pump,Water,110,80%,5,No additional effect.
Hydro Steam,Water,80,100%,15,During Sunny Day: 1.5x damage instead of half.
Hydro Vortex,Water,1,—,1,Power is equal to the base move's Z-Power.
Hyper Beam,Normal,150,90%,5,User cannot move next turn.
Hyper Drill,Normal,100,100%,5,Bypasses protection without breaking it.
