name,description
Color Change,"This Pokemon's type changes to the type of a move it's hit by, unless it has the type."
Comatose,"This Pokemon cannot be statused, and is considered to be asleep."
Commander,"If ally is Dondozo: this Pokemon cannot act or be hit, +2 to all Dondozo's stats."
Competitive,This Pokemon's Sp. Atk is raised by 2 for each of its stats that is lowered by a foe.
Compound Eyes,This Pokemon's moves have their accuracy multiplied by 1.3.
Contrary,"If this Pokemon has a stat stage raised it is lowered instead, and vice versa."
Corrosion,This Pokemon can poison or badly poison a Pokemon regardless of its typing.
Costar,"On switch-in, this Pokemon copies all of its ally's stat stage changes."
Cotton Down,"If this Pokemon is hit, it lowers the Speed of all other Pokemon on the field 1 stage."
Cud Chew,"If this Pokemon eats a Berry, it will eat that Berry again at the end of the next turn."
Curious Medicine,"On switch-in, this Pokemon's allies have their stat stages reset to 0."
Cursed Body,"If this Pokemon is hit by an attack, there is a 30% chance that move gets disabled."
Cute Charm,30% chance of infatuating Pokemon of the opposite gender if they make contact.
Damp,Prevents Explosion/Mind Blown/Misty Explosion/Self-Destruct/Aftermath while active.
Dancer,"After another Pokemon uses a dance move, this Pokemon uses the same move."
Dark Aura,"While this Pokemon is active, a Dark move used by any Pokemon has 1.33x power."
Dauntless Shield,"On switch-in, this Pokemon's Defense is raised by 1 stage. Once per battle."
Dazzling,This Pokemon and its allies are protected from opposing priority moves.
Defeatist,"While this Pokemon has 1/2 or less of its max HP, its Attack and Sp. Atk are halved."
Defiant,This Pokemon's Attack is raised by 2 for each of its stats that is lowered by a foe.
Delta Stream,"On switch-in, strong winds begin until this Ability is not active in battle."
Desolate Land,"On switch-in, extremely harsh sunlight begins until this Ability is not active in battle."
Disguise,"(Mimikyu only) The first hit it takes is blocked, and it takes 1/8 HP damage instead."
Download,"On switch-in, Attack or Sp. Atk is raised 1 stage based on the foes' weaker Defense."
Dragon's Maw,This Pokemon's offensive stat is multiplied by 1.5 while using a Dragon-type attack.
Drizzle,"On switch-in, this Pokemon summons Rain Dance."
Drought,"On switch-in, this Pokemon summons Sunny Day."
Dry Skin,"This Pokemon is healed 1/4 by Water, 1/8 by Rain; is hurt 1.25x by Fire, 1/8 by Sun."
Early Bird,This Pokemon's sleep counter drops by 2 instead of 1.
Earth Eater,This Pokemon heals 1/4 of its max HP when hit by Ground moves; Ground immunity.
Effect Spore,30% chance of poison/paralysis/sleep on others making contact with this Pokemon.
Electric Surge,"On switch-in, this Pokemon summons Electric Terrain."
Electromorphosis,This Pokemon gains the Charge effect when it takes a hit from an attack.
Embody Aspect (Cornerstone),"On switch-in, this Pokemon's Defense is raised by 1 stage."
Embody Aspect (Hearthflame),"On switch-in, this Pokemon's Attack is raised by 1 stage."
Embody Aspect (Teal),"On switch-in, this Pokemon's Speed is raised by 1 stage."
Embody Aspect (Wellspring),"On switch-in, this Pokemon's Special Defense is raised by 1 stage."
Emergency Exit,This Pokemon switches out when it reaches 1/2 or less of its maximum HP.
Fairy Aura,"While this Pokemon is active, a Fairy move used by any Pokemon has 1.33x power."
Filter,This Pokemon receives 3/4 damage from supereffective attacks.
Flame Body,30% chance a Pokemon making contact with this Pokemon will be burned.
Flare Boost,"While this Pokemon is burned, its special attacks have 1.5x power."
Flash Fire,This Pokemon's Fire attacks do 1.5x damage if hit by one Fire move; Fire immunity.
Flower Gift,"If user is Cherrim and Sunny Day is active, it and allies' Attack and Sp. Def are 1.5x."
Flower Veil,This side's Grass types can't have stats lowered or status inflicted by other Pokemon.
Fluffy,"This Pokemon takes 1/2 damage from contact moves, 2x damage from Fire moves."
Forecast,"Castform's type changes to the current weather condition's type, except Sandstorm."
Forewarn,"On switch-in, this Pokemon is alerted to the foes' move with the highest power."
Friend Guard,This Pokemon's allies receive 3/4 damage from other Pokemon's attacks.
Frisk,"On switch-in, this Pokemon identifies the held items of all opposing Pokemon."
Full Metal Body,Prevents other Pokemon from lowering this Pokemon's stat stages.
Fur Coat,This Pokemon's Defense is doubled.
Gale Wings,"If this Pokemon is at full HP, its Flying-type moves have their priority increased by 1."
Galvanize,This Pokemon's Normal-type moves become Electric type and have 1.2x power.
Gluttony,This Pokemon eats Berries at 1/2 max HP or less instead of their usual 1/4 max HP.
Good as Gold,This Pokemon is immune to Status moves.
Gooey,Pokemon making contact with this Pokemon have their Speed lowered by 1 stage.
Gorilla Tactics,"This Pokemon's Attack is 1.5x, but it can only select the first move it executes."
Grass Pelt,"If Grassy Terrain is active, this Pokemon's Defense is multiplied by 1.5."
Grassy Surge,"On switch-in, this Pokemon summons Grassy Terrain."
Grim Neigh,This Pokemon's Sp. Atk is raised by 1 stage if it attacks and KOes another Pokemon.
Guard Dog,Immune to Intimidate. Intimidated: +1 Attack. Cannot be forced to switch out.
Gulp Missile,"When hit after Surf/Dive, attacker takes 1/4 max HP and -1 Defense or paralysis."
Guts,"If this Pokemon is statused, its Attack is 1.5x; ignores burn halving physical damage."
Hadron Engine,"On switch-in, summons Electric Terrain. During Electric Terrain, Sp. Atk is 1.3333x."
Harvest,"If last item used is a Berry, 50% chance to restore it each end of turn. 100% in Sun."
Healer,30% chance this Pokemon's ally has its status cured at the end of each turn.
Heatproof,Fire damage against this Pokemon is dealt with 1/2 offensive stat; 1/2 burn damage.
Heavy Metal,This Pokemon's weight is doubled.
Honey Gather,No competitive use.
Hospitality,"On switch-in, this Pokemon restores 1/4 of its ally's maximum HP, rounded down."
Huge Power,This Pokemon's Attack is doubled.
Hunger Switch,"If Morpeko, it changes between Full Belly and Hangry Mode at the end of each turn."
Hustle,This Pokemon's Attack is 1.5x and accuracy of its physical attacks is 0.8x.
Hydration,This Pokemon has its status cured at the end of each turn if Rain Dance is active.
Hyper Cutter,Prevents other Pokemon from lowering this Pokemon's Attack stat stage.
Ice Body,"If Snow is active, this Pokemon heals 1/16 of its max HP each turn."
Ice Face,"If Eiscue, the first physical hit it takes deals 0 damage. Effect is restored in Snow."
Ice Scales,This Pokemon receives 1/2 damage from special attacks.
Illuminate,This Pokemon's accuracy can't be lowered by others; ignores their evasiveness stat.
Illusion,This Pokemon appears as the last Pokemon in the party until it takes direct damage.
Immunity,This Pokemon cannot be poisoned. Gaining this Ability while poisoned cures it.
Imposter,"On switch-in, this Pokemon Transforms into the opposing Pokemon that is facing it."
Infiltrator,Moves ignore substitutes and foe's Reflect/Light Screen/Safeguard/Mist/Aurora Veil.
Innards Out,"If this Pokemon is KOed with a move, that move's user loses an equal amount of HP."
Inner Focus,This Pokemon cannot be made to flinch. Immune to Intimidate.
Insomnia,This Pokemon cannot fall asleep. Gaining this Ability while asleep cures it.
Intimidate,"On switch-in, this Pokemon lowers the Attack of opponents by 1 stage."
Intrepid Sword,"On switch-in, this Pokemon's Attack is raised by 1 stage. Once per battle."
Iron Barbs,Pokemon making contact with this Pokemon lose 1/8 of their max HP.
Iron Fist,This Pokemon's punch-based attacks have 1.2x power. Sucker Punch is not boosted.
Justified,This Pokemon's Attack is raised by 1 stage after it is damaged by a Dark-type move.
Keen Eye,This Pokemon's accuracy can't be lowered by others; ignores their evasiveness stat.
Klutz,"This Pokemon's held item has no effect, except Macho Brace. Fling cannot be used."
Leaf Guard,"If Sunny Day is active, this Pokemon cannot be statused and Rest will fail for it."
Levitate,This Pokemon is immune to Ground; Gravity/Ingrain/Smack Down/Iron Ball nullify it.
Libero,This Pokemon's type changes to the type of the move it is using. Once per switch-in.
Light Metal,This Pokemon's weight is halved.
Lightning Rod,This Pokemon draws Electric moves to itself to raise Sp. Atk by 1; Electric immunity.
Limber,This Pokemon cannot be paralyzed. Gaining this Ability while paralyzed cures it.
Lingering Aroma,Making contact with this Pokemon has the attacker's Ability become Lingering Aroma.
Liquid Ooze,This Pokemon damages those draining HP from it for as much as they would heal.
Liquid Voice,This Pokemon's sound-based moves become Water type.
Long Reach,This Pokemon's attacks do not make contact with the target.
Magic Bounce,This Pokemon blocks certain Status moves and bounces them back to the user.
Magic Guard,This Pokemon can only be damaged by direct attacks.
Magician,"If this Pokemon has no item, it steals the item off a Pokemon it hits with an attack."
Magma Armor,This Pokemon cannot be frozen. Gaining this Ability while frozen cures it.
Magnet Pull,Prevents opposing Steel-type Pokemon from choosing to switch out.
Marvel Scale,"If this Pokemon has a non-volatile status condition, its Defense is multiplied by 1.5."
Mega Launcher,This Pokemon's pulse moves have 1.5x power. Heal Pulse heals 3/4 target's max HP.
Merciless,This Pokemon's attacks are critical hits if the target is poisoned.
Mimicry,This Pokemon's types change to match the Terrain. Type reverts when Terrain ends.
Mind's Eye,"Fighting, Normal moves hit Ghost. Accuracy can't be lowered, ignores evasiveness."
Minus,"If an active ally has this Ability or the Plus Ability, this Pokemon's Sp. Atk is 1.5x."
Mirror Armor,"If this Pokemon's stat stages would be lowered, the attacker's are lowered instead."
Misty Surge,"On switch-in, this Pokemon summons Misty Terrain."
Mold Breaker,This Pokemon's moves and their effects ignore the Abilities of other Pokemon.
Moody,Boosts a random stat (except accuracy/evasion) +2 and another stat -1 every turn.
Motor Drive,This Pokemon's Speed is raised 1 stage if hit by an Electric move; Electric immunity.
Mountaineer,"On switch-in, this Pokemon avoids all Rock-type attacks and Stealth Rock."
Moxie,This Pokemon's Attack is raised by 1 stage if it attacks and KOes another Pokemon.
Multiscale,"If this Pokemon is at full HP, damage taken from attacks is halved."
Multitype,"If this Pokemon is an Arceus, its type changes to match its held Plate."
Mummy,Pokemon making contact with this Pokemon have their Ability changed to Mummy.
Mycelium Might,This Pokemon's Status moves go last in their priority bracket and ignore Abilities.
Natural Cure,This Pokemon has its non-volatile status condition cured when it switches out.
Neuroforce,This Pokemon's attacks that are super effective against the target do 1.25x damage.
Neutralizing Gas,"While this Pokemon is active, Abilities have no effect."
No Guard,Every move used by or against this Pokemon will always hit.
Normalize,This Pokemon's moves are changed to be Normal type and have 1.2x power.
Oblivious,This Pokemon cannot be infatuated or taunted. Immune to Intimidate.
Opportunist,"When an opposing Pokemon has a stat stage raised, this Pokemon copies the effect."
Orichalcum Pulse,"On switch-in, summons Sunny Day. During Sunny Day, Attack is 1.3333x."
Overcoat,"This Pokemon is immune to powder moves, Sandstorm damage, and Effect Spore."
Overgrow,"At 1/3 or less of its max HP, this Pokemon's offensive stat is 1.5x with Grass attacks."
Own Tempo,This Pokemon cannot be confused. Immune to Intimidate.
Parental Bond,This Pokemon's damaging moves hit twice. The second hit has its damage quartered.
Pastel Veil,"This Pokemon and its allies cannot be poisoned. On switch-in, cures poisoned allies."
Perish Body,Making contact with this Pokemon starts the Perish Song effect for it and the attacker.
Persistent,"When used, Gravity/Heal Block/Safeguard/Tailwind/Room effects last 2 more turns."
Pickpocket,"If this Pokemon has no item and is hit by a contact move, it steals the attacker's item."
Pickup,"If this Pokemon has no item, it finds one used by an adjacent Pokemon this turn."
Pixilate,This Pokemon's Normal-type moves become Fairy type and have 1.2x power.
Plus,"If an active ally has this Ability or the Minus Ability, this Pokemon's Sp. Atk is 1.5x."
Poison Heal,This Pokemon is healed by 1/8 of its max HP each turn when poisoned; no HP loss.
Poison Point,30% chance a Pokemon making contact with this Pokemon will be poisoned.
Poison Puppeteer,"Pecharunt: If this Pokemon poisons a target, the target also becomes confused."
Poison Touch,This Pokemon's contact moves have a 30% chance of poisoning.
Power Construct,"If Zygarde 10%/50%, changes to Complete if at 1/2 max HP or less at end of turn."
Power Spot,This Pokemon's allies have the power of their moves multiplied by 1.3.
Power of Alchemy,This Pokemon copies the Ability of an ally that faints.
Prankster,"This Pokemon's Status moves have priority raised by 1, but Dark types are immune."
Pressure,"If this Pokemon is the target of a foe's move, that move loses one additional PP."
Primordial Sea,"On switch-in, heavy rain begins until this Ability is not active in battle."
Prism Armor,This Pokemon receives 3/4 damage from supereffective attacks.
Propeller Tail,This Pokemon's moves cannot be redirected to a different target by any effect.
Protean,This Pokemon's type changes to the type of the move it is using. Once per switch-in.
Protosynthesis,"Sunny Day active or Booster Energy used: highest stat is 1.3x, or 1.5x if Speed."
Psychic Surge,"On switch-in, this Pokemon summons Psychic Terrain."
Punk Rock,This Pokemon receives 1/2 damage from sound moves. Its own have 1.3x power.
Pure Power,This Pokemon's Attack is doubled.
Purifying Salt,Ghost damage to this Pokemon dealt with a halved offensive stat; can't be statused.
Quark Drive,"Electric Terrain active or Booster Energy used: highest stat is 1.3x, or 1.5x if Speed."
Queenly Majesty,This Pokemon and its allies are protected from opposing priority moves.
Quick Draw,This Pokemon has a 30% chance to move first in its priority bracket with attacking moves.
Quick Feet,"If this Pokemon is statused, its Speed is 1.5x; ignores Speed drop from paralysis."
RKS System,"If this Pokemon is a Silvally, its type changes to match its held Memory."
Rain Dish,"If Rain Dance is active, this Pokemon heals 1/16 of its max HP each turn."
Rattled,"Speed is raised 1 stage if hit by a Bug-, Dark-, or Ghost-type attack, or Intimidated."
Rebound,"On switch-in, blocks certain status moves and bounces them back to the user."
Receiver,This Pokemon copies the Ability of an ally that faints.
Reckless,This Pokemon's attacks with recoil or crash damage have 1.2x power; not Struggle.
Refrigerate,This Pokemon's Normal-type moves become Ice type and have 1.2x power.
Regenerator,"This Pokemon restores 1/3 of its maximum HP, rounded down, when it switches out."
Ripen,"When this Pokemon eats certain Berries, the effects are doubled."
Rivalry,This Pokemon's attacks do 1.25x on same gender targets; 0.75x on opposite gender.
Rock Head,This Pokemon does not take recoil damage besides Struggle/Life Orb/crash damage.
Rocky Payload,This Pokemon's offensive stat is multiplied by 1.5 while using a Rock-type attack.
Rough Skin,Pokemon making contact with this Pokemon lose 1/8 of their max HP.
Run Away,No competitive use.
Sand Force,This Pokemon's Ground/Rock/Steel attacks do 1.3x in Sandstorm; immunity to it.
Sand Rush,"If Sandstorm is active, this Pokemon's Speed is doubled; immunity to Sandstorm."
Sand Spit,"When this Pokemon is hit by an attack, the effect of Sandstorm begins."
Sand Stream,"On switch-in, this Pokemon summons Sandstorm."
Sand Veil,"If Sandstorm is active, this Pokemon's evasiveness is 1.25x; immunity to Sandstorm."
Sap Sipper,This Pokemon's Attack is raised 1 stage if hit by a Grass move; Grass immunity.
Schooling,"If user is Wishiwashi, changes to School Form if it has > 1/4 max HP, else Solo Form."
Scrappy,"Fighting, Normal moves hit Ghost. Immune to Intimidate."
Screen Cleaner,"On switch-in, the effects of Aurora Veil, Light Screen, and Reflect end for both sides."
Seed Sower,"When this Pokemon is hit by an attack, the effect of Grassy Terrain begins."
Serene Grace,This Pokemon's moves have their secondary effect chance doubled.
Shadow Shield,"If this Pokemon is at full HP, damage taken from attacks is halved."
Shadow Tag,Prevents foes from choosing to switch unless they also have this Ability.
Sharpness,This Pokemon's slicing moves have their power multiplied by 1.5.
Shed Skin,This Pokemon has a 33% chance to have its status cured at the end of each turn.
Sheer Force,This Pokemon's attacks with secondary effects have 1.3x power; nullifies the effects.
Shell Armor,This Pokemon cannot be struck by a critical hit.
Shield Dust,This Pokemon is not affected by the secondary effect of another Pokemon's attack.
Shields Down,"If Minior, switch-in/end of turn it changes to Core at 1/2 max HP or less, else Meteor."
Simple,"When one of this Pokemon's stat stages is raised or lowered, the amount is doubled."
Skill Link,This Pokemon's multi-hit attacks always hit the maximum number of times.
Slow Start,"On switch-in, this Pokemon's Attack and Speed are halved for 5 turns."
Slush Rush,"If Snow is active, this Pokemon's Speed is doubled."
Sniper,"If this Pokemon strikes with a critical hit, the damage is multiplied by 1.5."
Snow Cloak,"If Snow is active, this Pokemon's evasiveness is 1.25x."
Snow Warning,"On switch-in, this Pokemon summons Snow."
Solar Power,"If Sunny Day is active, this Pokemon's Sp. Atk is 1.5x; loses 1/8 max HP per turn."
Solid Rock,This Pokemon receives 3/4 damage from supereffective attacks.
Soul-Heart,This Pokemon's Special Attack is raised by 1 stage when another Pokemon faints.
Soundproof,"This Pokemon is immune to sound-based moves, unless it used the move."
Speed Boost,This Pokemon's Speed is raised 1 stage at the end of each full turn on the field.
Stakeout,This Pokemon's offensive stat is doubled against a target that switched in this turn.
Stall,This Pokemon moves last among Pokemon using the same or greater priority moves.
Stalwart,This Pokemon's moves cannot be redirected to a different target by any effect.
Stamina,This Pokemon's Defense is raised by 1 stage after it is damaged by a move.
Stance Change,"If Aegislash, changes Forme to Blade before attacks and Shield before King's Shield."
Static,30% chance a Pokemon making contact with this Pokemon will be paralyzed.
Steadfast,"If this Pokemon flinches, its Speed is raised by 1 stage."
Steam Engine,This Pokemon's Speed is raised by 6 stages after it is damaged by Fire/Water moves.
Steelworker,This Pokemon's offensive stat is multiplied by 1.5 while using a Steel-type attack.
Steely Spirit,This Pokemon and its allies' Steel-type moves have their power multiplied by 1.5.
Stench,This Pokemon's attacks without a chance to flinch gain a 10% chance to flinch.
Sticky Hold,This Pokemon cannot lose its held item due to another Pokemon's Ability or attack.
Storm Drain,This Pokemon draws Water moves to itself to raise Sp. Atk by 1; Water immunity.
Strong Jaw,This Pokemon's bite-based attacks have 1.5x power. Bug Bite is not boosted.
Sturdy,"If this Pokemon is at full HP, it survives one hit with at least 1 HP. Immune to OHKO."
Suction Cups,This Pokemon cannot be forced to switch out by another Pokemon's attack or item.
Super Luck,This Pokemon's critical hit ratio is raised by 1 stage.
Supersweet Syrup,"On switch-in, this Pokemon lowers the evasiveness of opponents 1 stage. Once per battle."
Supreme Overlord,"This Pokemon's moves have 10% more power for each fainted ally, up to 5 allies."
Surge Surfer,"If Electric Terrain is active, this Pokemon's Speed is doubled."
Swarm,"At 1/3 or less of its max HP, this Pokemon's offensive stat is 1.5x with Bug attacks."
Sweet Veil,This Pokemon and its allies cannot fall asleep; those already asleep do not wake up.
Swift Swim,"If Rain Dance is active, this Pokemon's Speed is doubled."
Sword of Ruin,Active Pokemon without this Ability have their Defense multiplied by 0.75.
Symbiosis,"If an ally uses its item, this Pokemon gives its item to that ally immediately."
Synchronize,"If another Pokemon burns/poisons/paralyzes this Pokemon, it also gets that status."
Tablets of Ruin,Active Pokemon without this Ability have their Attack multiplied by 0.75.
Tangled Feet,This Pokemon's evasiveness is doubled as long as it is confused.
Tangling Hair,Pokemon making contact with this Pokemon have their Speed lowered by 1 stage.
Technician,"This Pokemon's moves of 60 power or less have 1.5x power, including Struggle."
Telepathy,This Pokemon does not take damage from attacks made by its allies.
Tera Shell,"Terapagos: If full HP, attacks taken have 0.5x effectiveness unless naturally immune."
Tera Shift,"If this Pokemon is a Terapagos, it transforms into its Terastal Form on entry."
Teraform Zero,Terapagos: Terastallizing ends the effects of weather and terrain. Once per battle.
Teravolt,This Pokemon's moves and their effects ignore the Abilities of other Pokemon.
Thermal Exchange,This Pokemon's Attack is raised by 1 when damaged by Fire moves; can't be burned.
Thick Fat,Fire-/Ice-type moves against this Pokemon deal damage with a halved offensive stat.
Tinted Lens,This Pokemon's attacks that are not very effective on a target deal double damage.
Torrent,"At 1/3 or less of its max HP, this Pokemon's offensive stat is 1.5x with Water attacks."
Tough Claws,This Pokemon's contact moves have their power multiplied by 1.3.
Toxic Boost,"While this Pokemon is poisoned, its physical attacks have 1.5x power."
Toxic Chain,This Pokemon's moves have a 30% chance of badly poisoning.
Toxic Debris,"If this Pokemon is hit by a physical attack, Toxic Spikes are set on the opposing side."
Trace,"On switch-in, or when it can, this Pokemon copies a random adjacent foe's Ability."
Transistor,This Pokemon's offensive stat is multiplied by 1.3 while using an Electric-type attack.
Triage,This Pokemon's healing moves have their priority increased by 3.
Truant,This Pokemon skips every other turn instead of using a move.
Turboblaze,This Pokemon's moves and their effects ignore the Abilities of other Pokemon.
Unaware,This Pokemon ignores other Pokemon's stat stages when taking or doing damage.
Unburden,"Speed is doubled on held item loss; boost is lost if it switches, gets new item/Ability."
Unnerve,"While this Pokemon is active, it prevents opposing Pokemon from using their Berries."
Unseen Fist,"This Pokemon's contact moves ignore the target's protection, except Max Guard."
Vessel of Ruin,Active Pokemon without this Ability have their Special Attack multiplied by 0.75.
Victory Star,This Pokemon and its allies' moves have their accuracy multiplied by 1.1.
Vital Spirit,This Pokemon cannot fall asleep. Gaining this Ability while asleep cures it.
Volt Absorb,This Pokemon heals 1/4 of its max HP when hit by Electric moves; Electric immunity.
Wandering Spirit,Pokemon making contact with this Pokemon have their Ability swapped with this one.
Water Absorb,This Pokemon heals 1/4 of its max HP when hit by Water moves; Water immunity.
Water Bubble,This Pokemon's Water power is 2x; it can't be burned; Fire power against it is halved.
Water Compaction,This Pokemon's Defense is raised 2 stages after it is damaged by a Water-type move.
Water Veil,This Pokemon cannot be burned. Gaining this Ability while burned cures it.
Weak Armor,"If a physical attack hits this Pokemon, Defense is lowered by 1, Speed is raised by 2."
Well-Baked Body,This Pokemon's Defense is raised 2 stages if hit by a Fire move; Fire immunity.
White Smoke,Prevents other Pokemon from lowering this Pokemon's stat stages.
Wimp Out,This Pokemon switches out when it reaches 1/2 or less of its maximum HP.
Wind Power,This Pokemon gains the Charge effect when hit by a wind move or Tailwind begins.
Wind Rider,Attack raised by 1 if hit by a wind move or Tailwind begins. Wind move immunity.
Wonder Guard,This Pokemon can only be damaged by supereffective moves and indirect damage.
Wonder Skin,Status moves with accuracy checks are 50% accurate when used on this Pokemon.
Zen Mode,"If Darmanitan, at end of turn changes Mode to Standard if > 1/2 max HP, else Zen."
Zero to Hero,"If this Pokemon is a Palafin in Zero Form, switching out has it change to Hero Form."
